[process_supervisor] log file: /home/kale/QHRR_control/log/20260526_141651/task_controller.log
[task_controller] loaded policy qhrr: /home/kale/QHRR_control/policy/qhrr/qhrr/policy.onnx
[task_controller] control=qhrr_control_state aux=qhrr_aux_command control_cmd=qhrr_mit_command
[task_controller] target_policy_output_hz=50.000 rate_log_interval_s=1.0
[task_controller] waiting for control_state
[task_controller] control_state received
[task_controller] policy_output_rate_hz=50.61 published=51 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.82 published=301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=1001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=1051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=1101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=1151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=1201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=1251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=1301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=1351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=1401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=1451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=1501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=1551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.82 published=1601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=1651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.87 published=1701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=1751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=1801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=1851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=1901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=1951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=2001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=2051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=2101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.79 published=2151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=2201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=2251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=2301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=2351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=2401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.55 published=2451 target_hz=50.00
[task_controller] policy_output_rate_hz=47.95 published=2499 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=2549 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=2599 target_hz=50.00
[task_controller] policy_output_rate_hz=49.56 published=2649 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=2699 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=2749 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=2799 target_hz=50.00
[task_controller] policy_output_rate_hz=49.71 published=2849 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=2899 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=2949 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=2999 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=3049 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=3099 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=3149 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=3199 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=3249 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=3299 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=3349 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=3399 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=3449 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=3499 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=3549 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=3599 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=3649 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=3699 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=3749 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=3799 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=3849 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=3899 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=3949 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=3999 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=4049 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=4099 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=4149 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=4199 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=4249 target_hz=50.00
[task_controller] policy_output_rate_hz=49.76 published=4299 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=4349 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=4399 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=4449 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=4499 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=4549 target_hz=50.00
[task_controller] signal 15, shutting down
