[process_supervisor] log file: /home/kale/QHRR_control/log/20260527_140255/task_controller.log
[task_controller] policy_output_rate_hz=49.84 published=5701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=5751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=5801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=5851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=5901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=5951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=6001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=6051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=6101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=6151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=6201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=6251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=6301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=6351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=6401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=6451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=6501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=6551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=6601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=6651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=6701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=6751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=6801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=6851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=6901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=6951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=7001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=7051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=7101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=7151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=7201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=7251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=7301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=7351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=7401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=7451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=7501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=7551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=7601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=7651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=7701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=7751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=7801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=7851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=7901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=7951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=8001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=8051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=8101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=8151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=8201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=8251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=8301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=8351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=8401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=8451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=8501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=8551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=8601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=8651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=8701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=8751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=8801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=8851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.87 published=8901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=8951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=9001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=9051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=9101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=9151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=9201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=9251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=9301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=9351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=9401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=9451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=9501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=9551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=9601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=9651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=9701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=9751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=9801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=9851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=9901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.73 published=9951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=10001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=10051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=10101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=10151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=10201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=10251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=10301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=10351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=10401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=10451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=10501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=10551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=10601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=10651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=10701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=10751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=10801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=10851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=10901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=10951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=11001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=11051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=11101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=11151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=11201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=11251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=11301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=11351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=11401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=11451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=11501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=11551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=11601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=11651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=11701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=11751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=11801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=11851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=11901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=11951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=12001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=12051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=12101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=12151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=12201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=12251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=12301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=12351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=12401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=12451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.81 published=12501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=12551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=12601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=12651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=12701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=12751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=12801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=12851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=12901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=12951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=13001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=13051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=13101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=13151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=13201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=13251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=13301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=13351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=13401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=13451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=13501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=13551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=13601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=13651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=13701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=13751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=13801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=13851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=13901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=13951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=14001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=14051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=14101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=14151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=14201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=14251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=14301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=14351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=14401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=14451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=14501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=14551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=14601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=14651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=14701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=14751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=14801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=14851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=14901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=14951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=15001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=15051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=15101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=15151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=15201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=15251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=15301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=15351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=15401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=15451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=15501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=15551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=15601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=15651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=15701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=15751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=15801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=15851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=15901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=15951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=16001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=16051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=16101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=16151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=16201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=16251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=16301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=16351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=16401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=16451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=16501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=16551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=16601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=16651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=16701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=16751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=16801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=16851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=16901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=16951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=17001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=17051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=17101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=17151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=17201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=17251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=17301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=17351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=17401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=17451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=17501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=17551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=17601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=17651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=17701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=17751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=17801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=17851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=17901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=17951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=18001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=18051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=18101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=18151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=18201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=18251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=18301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=18351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=18401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=18451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=18501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.83 published=18551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=18601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=18651 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=18701 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=18751 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=18801 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=18851 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=18901 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=18951 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=19001 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=19051 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=19101 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=19151 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=19201 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=19251 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=19301 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=19351 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=19401 target_hz=50.00
[task_controller] policy_output_rate_hz=49.86 published=19451 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=19501 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=19551 target_hz=50.00
[task_controller] policy_output_rate_hz=49.84 published=19601 target_hz=50.00
[task_controller] policy_output_rate_hz=49.85 published=19651 target_hz=50.00
